Metal,Stage,Reagent,Value
"Lithium, brine - carbonate",Concentration,"hydrogen peroxide, without water, in 50% solution state",0.0
"Lithium, brine - carbonate",Concentration,"carbon dioxide, liquid",0.0
"Lithium, brine - carbonate",Concentration,bentonite,0.0
"Lithium, brine - carbonate",Concentration,sulfur,0.0
"Lithium, brine - carbonate",Concentration,magnesium oxide,0.0
"Lithium, brine - carbonate",Concentration,"limestone, crushed, for mill",0.0
"Lithium, brine - carbonate",Concentration,"lime, hydraulic",0.0
"Lithium, brine - carbonate",Concentration,"soda ash, dense",0.0
"Lithium, brine - carbonate",Concentration,ammonium bicarbonate,0.0
"Lithium, brine - carbonate",Concentration,lime,0.0
