Raw material,Impact category,BAU,ONSITE_ELEC,ENERGY_EFF,PROCESS_HEAT,CHEMICALS_DECARB,GLOBAL_ELEC
Cobalt,"Eutrophication, freshwater",0.00901848649261015,0.008938307138044648,0.008923887320713492,0.009150802316988699,0.0074724900630093165,0.006952215333288361
Cobalt,"Eutrophication, marine",0.02501065070383695,0.023903981978169626,0.023253184386377267,0.023491557590181227,0.018999677226622595,0.017838491934574676
Cobalt,"Eutrophication, terrestrial",0.2642854578432662,0.25370662833330077,0.246533880156949,0.2509695011992858,0.20856061410133356,0.19740029859063232
Cobalt,"Human toxicity, carcinogenic",9.94453945340027e-08,1.0317215840387892e-07,1.0213722187944522e-07,1.127394430338569e-07,1.1688855780234511e-07,1.1740122939557294e-07
Cobalt,"Human toxicity, non-carcinogenic",2.0570229324365954e-07,2.1033997213524686e-07,2.0926964357161092e-07,2.2977926123849933e-07,2.2961408587772042e-07,2.263591472704749e-07
Cobalt,Ionising radiation,0.7247995597730693,0.6854520941706341,0.6834400586283977,0.6988315465437519,0.2237089036388173,0.031853515248340854
Cobalt,Land use,60.798581299550975,61.11609324859666,60.794392300425244,65.64680209089974,61.351568266284,59.745513832342844
Cobalt,"Material resources, minerals/metals",0.0018986748491087784,0.0019160940634632547,0.001914960483064316,0.0019478143964722734,0.001992662541509733,0.001998546525835497
Cobalt,Ozone depletion,7.418326068637914e-07,7.396863257095643e-07,7.358238799547913e-07,7.26725357748162e-07,6.980384478035768e-07,6.899091104652783e-07
Cobalt,Particulate matter formation,7.544562914741704e-06,7.473687241589944e-06,7.434371210176863e-06,7.462596489649158e-06,7.245716472997966e-06,7.199233149180171e-06
Cobalt,Acidification,0.15547266327715892,0.15105281909010843,0.14952994798119426,0.15240631310991837,0.13145937414536668,0.12599579859427146
Cobalt,Water use,4.5238898077853005,4.453670339999859,4.442945531026343,4.553062109725495,3.807373521237289,3.4071607462617672
Nickel,Particulate matter formation,3.1443950173461196e-06,3.0558749786194237e-06,3.0534197613917268e-06,3.059224824574848e-06,3.0484645534357046e-06,3.0377840270516276e-06
Nickel,Ozone depletion,4.8361319695223286e-08,3.558398540013089e-08,3.4732552168546706e-08,2.6398287808215348e-08,2.5285199898894755e-08,2.377424958628361e-08
Nickel,"Material resources, minerals/metals",0.0009202705377899935,0.0009291152393039151,0.0009285507388199918,0.0009748626442680865,0.0009790519315220154,0.0009808019787121039
Nickel,Land use,20.147574945266747,17.130916837145236,17.030238504462854,22.03353619652816,21.95897013263499,21.68787749964358
Nickel,Ionising radiation,0.34596011379773506,0.04326743681846982,0.04271154998008257,0.06345996437199422,0.04601713653632298,0.00374782150912832
Nickel,"Human toxicity, non-carcinogenic",1.837360126399713e-07,1.770351055071187e-07,1.7653263453795968e-07,2.0260928871584512e-07,2.0390642640786043e-07,2.0342495568201402e-07
Nickel,"Human toxicity, carcinogenic",3.0668816769935754e-07,3.071729059658861e-07,3.069641176813551e-07,3.183486983080114e-07,3.19034735161751e-07,3.192623187911741e-07
Nickel,"Eutrophication, terrestrial",0.04968316737040302,0.02960194243042802,0.029234398652558627,0.03345336551191473,0.032007709055942746,0.02945883483931014
